ecoregion1,ecoregion2,dissimilarity
Southern Andean Yungas,Valdivian temperate forests,0.666666667
Peruvian Yungas,Valdivian temperate forests,1
Patagonian steppe,Valdivian temperate forests,0
Northern Andean paramo,Valdivian temperate forests,1
Rock and Ice,Valdivian temperate forests,0
Magellanic subpolar forests,Valdivian temperate forests,0
Cordillera Central paramo,Valdivian temperate forests,1
Cordillera La Costa montane forests,Valdivian temperate forests,1
Cordillera de Merida paramo,Valdivian temperate forests,1
Central Andean wet puna,Valdivian temperate forests,1
Central Andean puna,Valdivian temperate forests,0.5
Bolivian montane dry forests,Valdivian temperate forests,1
Araya and Paria xeric scrub,Valdivian temperate forests,1
Southern Andean steppe,Valdivian temperate forests,0
Central Andean dry puna,Valdivian temperate forests,0.5
La Costa xeric shrublands,Valdivian temperate forests,1
Chilean matorral,Valdivian temperate forests,0.5
High Monte,Valdivian temperate forests,0.5
Santa Marta montane forests,Venezuelan Andes montane forests,0.5
Cauca Valley montane forests,Venezuelan Andes montane forests,0.5
Atacama desert,Venezuelan Andes montane forests,1
Magdalena Valley montane forests,Venezuelan Andes montane forests,0.5
Eastern Cordillera real montane forests,Venezuelan Andes montane forests,0.75
Lara Falcon dry forests,Venezuelan Andes montane forests,0.5
Cordillera Oriental montane forests,Venezuelan Andes montane forests,0
Santa Marta paramo,Venezuelan Andes montane forests,0.5
Northwestern Andean montane forests,Venezuelan Andes montane forests,0.666666667
Cauca Valley dry forests,Venezuelan Andes montane forests,0.5
Magdalena Valley dry forests,Venezuelan Andes montane forests,0.5
Tumbes Piura dry forests,Venezuelan Andes montane forests,1
Maranon dry forests,Venezuelan Andes montane forests,1
Bolivian Yungas,Venezuelan Andes montane forests,1
Lake,Venezuelan Andes montane forests,1
Patia Valley dry forests,Venezuelan Andes montane forests,0.5
Valdivian temperate forests,Venezuelan Andes montane forests,1
Southern Andean Yungas,Venezuelan Andes montane forests,1
Peruvian Yungas,Venezuelan Andes montane forests,1
Patagonian steppe,Venezuelan Andes montane forests,1
Northern Andean paramo,Venezuelan Andes montane forests,0.333333333
Rock and Ice,Venezuelan Andes montane forests,1
Magellanic subpolar forests,Venezuelan Andes montane forests,1
Cordillera Central paramo,Venezuelan Andes montane forests,1
Cordillera La Costa montane forests,Venezuelan Andes montane forests,0.5
Cordillera de Merida paramo,Venezuelan Andes montane forests,0.5
Central Andean wet puna,Venezuelan Andes montane forests,1
Central Andean puna,Venezuelan Andes montane forests,1
Bolivian montane dry forests,Venezuelan Andes montane forests,1
Araya and Paria xeric scrub,Venezuelan Andes montane forests,0.5
Southern Andean steppe,Venezuelan Andes montane forests,1
Central Andean dry puna,Venezuelan Andes montane forests,1
La Costa xeric shrublands,Venezuelan Andes montane forests,0.5
Chilean matorral,Venezuelan Andes montane forests,1
High Monte,Venezuelan Andes montane forests,1
